year,month,day,doy,mean_h_gw,discharge
2010,1,1,1,763.43,16642004.42
2010,1,2,2,763.42,16332813.95
2010,1,3,3,763.35,16281106.44
2010,1,4,4,763.25,16227466.71
2010,1,5,5,763.13,16172129.74
2010,1,6,6,762.99,16117437.24
2010,1,7,7,762.84,16062482.33
2010,1,8,8,762.68,16006916.86
2010,1,9,9,762.52,15950551.58
2010,1,10,10,762.36,15898594.06
2010,1,11,11,762.19,15843064.80
2010,1,12,12,762.01,15787202.08
2010,1,13,13,761.85,15734818.64
2010,1,14,14,761.66,15677810.66
2010,1,15,15,761.46,15620685.51
2010,1,16,16,761.27,15563807.83
2010,1,17,17,761.07,15507012.53
2010,1,18,18,760.88,15450764.33
2010,1,19,19,760.68,15394214.14
2010,1,20,20,760.48,15338056.29
2010,1,21,21,760.28,15281722.63
2010,1,22,22,760.07,15225722.77
2010,1,23,23,759.87,15170129.62
2010,1,24,24,759.67,15114733.57
2010,1,25,25,759.46,15059575.24
2010,1,26,26,759.26,15004606.76
2010,1,27,27,759.05,14950106.44
2010,1,28,28,758.85,14895846.28
2010,1,29,29,758.64,14841783.07
2010,1,30,30,758.44,14787887.73
2010,1,31,31,758.23,14734140.97
2010,2,1,32,758.03,14680840.37
2010,2,2,33,757.82,14627870.94
2010,2,3,34,757.62,14575105.93
2010,2,4,35,757.42,14522425.93
2010,2,5,36,757.21,14470233.19
2010,2,6,37,757.01,14418339.05
2010,2,7,38,756.81,14366365.07
2010,2,8,39,756.60,14314670.05
2010,2,9,40,756.40,14263184.35
2010,2,10,41,756.20,14212275.68
2010,2,11,42,756.00,14162135.57
2010,2,12,43,755.80,14111307.49
2010,2,13,44,755.60,14060818.95
2010,2,14,45,755.40,14010488.61
2010,2,15,46,755.20,13960427.71
2010,2,16,47,755.00,13910594.71
2010,2,17,48,754.80,13861007.81
2010,2,18,49,754.61,13811881.85
2010,2,19,50,754.41,13762897.69
2010,2,20,51,754.21,13714229.85
2010,2,21,52,754.02,13665988.48
2010,2,22,53,753.82,13617813.58
2010,2,23,54,753.63,13570145.15
2010,2,24,55,753.44,13522834.52
2010,2,25,56,753.25,13476748.52
2010,2,26,57,753.07,13431573.58
2010,2,27,58,752.88,13384597.54
2010,2,28,59,752.69,13337862.48
2010,3,1,60,752.50,13291546.39
2010,3,2,61,752.31,13245410.64
2010,3,3,62,752.12,13199443.60
2010,3,4,63,751.93,13153705.68
2010,3,5,64,751.75,13108208.91
2010,3,6,65,751.56,13063135.56
2010,3,7,66,751.38,13018326.28
2010,3,8,67,751.19,12973556.10
2010,3,9,68,751.01,12929257.09
2010,3,10,69,750.83,12885025.00
2010,3,11,70,750.64,12840991.10
2010,3,12,71,750.46,12797200.22
2010,3,13,72,750.29,12754287.17
2010,3,14,73,750.11,12711092.16
2010,3,15,74,749.94,12669740.80
2010,3,16,75,749.78,12631478.00
2010,3,17,76,749.61,12588831.49
2010,3,18,77,749.43,12546567.03
2010,3,19,78,749.25,12504388.92
2010,3,20,79,749.08,12462411.47
2010,3,21,80,748.91,12420673.32
2010,3,22,81,748.73,12379567.41
2010,3,23,82,748.56,12338266.84
2010,3,24,83,748.39,12297203.70
2010,3,25,84,748.22,12256538.95
2010,3,26,85,748.05,12215957.35
2010,3,27,86,747.89,12176846.34
2010,3,28,87,747.72,12137402.09
2010,3,29,88,747.56,12098689.33
2010,3,30,89,747.43,12063898.49
2010,3,31,90,747.28,12027725.72
2010,4,1,91,747.11,11988310.21
2010,4,2,92,746.95,11949910.22
2010,4,3,93,746.82,11917821.14
2010,4,4,94,746.66,11879847.62
2010,4,5,95,746.51,11843279.79
2010,4,6,96,746.36,11806312.36
2010,4,7,97,746.22,11771686.78
2010,4,8,98,746.32,11784492.20
2010,4,9,99,746.16,11746947.06
2010,4,10,100,746.00,11708871.70
2010,4,11,101,745.84,11671072.84
2010,4,12,102,745.78,11648848.34
2010,4,13,103,745.84,11647321.86
2010,4,14,104,745.88,11642569.12
2010,4,15,105,745.72,11606169.42
2010,4,16,106,745.60,11576289.07
2010,4,17,107,745.90,11621646.65
2010,4,18,108,745.87,11607746.43
2010,4,19,109,745.73,11574916.49
2010,4,20,110,745.83,11582616.92
2010,4,21,111,745.78,11562509.98
2010,4,22,112,745.66,11532219.49
2010,4,23,113,745.66,11526549.16
2010,4,24,114,745.56,11500495.44
2010,4,25,115,745.41,11465832.63
2010,4,26,116,745.40,11456313.40
2010,4,27,117,745.42,11452678.40
2010,4,28,118,745.34,11430171.30
2010,4,29,119,745.21,11398826.70
2010,4,30,120,745.44,11431816.98
2010,5,1,121,745.31,11400008.02
2010,5,2,122,745.17,11368069.24
2010,5,3,123,745.02,11334605.00
2010,5,4,124,744.88,11301358.54
2010,5,5,125,744.73,11267589.26
2010,5,6,126,744.65,11246105.23
2010,5,7,127,744.56,11223355.33
2010,5,8,128,744.59,11223154.33
2010,5,9,129,744.61,11221865.08
2010,5,10,130,744.97,11284705.03
2010,5,11,131,744.91,11268169.33
2010,5,12,132,744.75,11233065.36
2010,5,13,133,744.63,11203303.94
2010,5,14,134,744.48,11170347.59
2010,5,15,135,744.55,11172216.74
2010,5,16,136,744.45,11147892.28
2010,5,17,137,744.54,11157670.06
2010,5,18,138,744.65,11169864.94
2010,5,19,139,744.60,11154657.97
2010,5,20,140,744.46,11122909.55
2010,5,21,141,744.32,11091902.21
2010,5,22,142,744.17,11058082.28
2010,5,23,143,744.07,11034164.73
2010,5,24,144,743.91,10998697.66
2010,5,25,145,743.76,10964980.49
2010,5,26,146,743.63,10936908.04
2010,5,27,147,743.48,10903566.32
2010,5,28,148,743.34,10871678.86
2010,5,29,149,743.21,10841870.02
2010,5,30,150,743.19,10831638.12
2010,5,31,151,743.05,10800808.55
2010,6,1,152,742.90,10767846.15
2010,6,2,153,743.28,10832229.27
2010,6,3,154,743.23,10818477.87
2010,6,4,155,743.57,10877680.79
2010,6,5,156,744.12,10977523.48
2010,6,6,157,744.03,10956143.25
2010,6,7,158,744.02,10950156.70
2010,6,8,159,743.87,10918002.33
2010,6,9,160,743.89,10918477.78
2010,6,10,161,743.76,10888790.01
2010,6,11,162,743.69,10873984.43
2010,6,12,163,743.68,10869679.62
2010,6,13,164,743.96,10921652.10
2010,6,14,165,743.96,10918972.78
2010,6,15,166,743.94,10910144.96
2010,6,16,167,743.86,10892765.64
2010,6,17,168,743.85,10886138.09
2010,6,18,169,743.78,10869934.44
2010,6,19,170,743.72,10856110.32
2010,6,20,171,743.63,10835109.84
2010,6,21,172,743.80,10863293.62
2010,6,22,173,743.75,10849036.68
2010,6,23,174,743.77,10850303.15
2010,6,24,175,743.65,10824775.20
2010,6,25,176,743.52,10795127.03
2010,6,26,177,743.38,10764441.40
2010,6,27,178,743.24,10735661.90
2010,6,28,179,743.36,10753458.72
2010,6,29,180,743.22,10723204.75
2010,6,30,181,743.09,10693362.67
2010,7,1,182,743.00,10672587.43
2010,7,2,183,742.86,10643607.76
2010,7,3,184,742.74,10616991.33
2010,7,4,185,742.64,10594558.01
2010,7,5,186,742.92,10646100.57
2010,7,6,187,742.90,10639992.07
2010,7,7,188,743.11,10675546.61
2010,7,8,189,743.27,10702290.83
2010,7,9,190,743.65,10769281.99
2010,7,10,191,744.13,10853257.69
2010,7,11,192,744.15,10852819.75
2010,7,12,193,744.15,10849908.37
2010,7,13,194,744.15,10848750.24
2010,7,14,195,744.04,10824268.07
2010,7,15,196,743.93,10799800.76
2010,7,16,197,744.29,10865630.05
2010,7,17,198,744.16,10839157.82
2010,7,18,199,744.03,10811582.25
2010,7,19,200,743.96,10795715.89
2010,7,20,201,744.00,10800564.05
2010,7,21,202,744.26,10844105.12
2010,7,22,203,744.33,10856748.71
2010,7,23,204,744.16,10821391.90
2010,7,24,205,744.20,10825415.43
2010,7,25,206,744.16,10815554.34
2010,7,26,207,744.12,10805419.19
2010,7,27,208,744.09,10799798.68
2010,7,28,209,744.21,10819473.29
2010,7,29,210,744.55,10887310.95
2010,7,30,211,744.55,10884308.74
2010,7,31,212,744.43,10860106.11
2010,8,1,213,744.27,10825422.33
2010,8,2,214,744.10,10789585.74
2010,8,3,215,744.18,10804767.81
2010,8,4,216,744.30,10825267.72
2010,8,5,217,744.14,10792862.67
2010,8,6,218,743.98,10757420.40
2010,8,7,219,743.89,10738590.18
2010,8,8,220,743.87,10732342.85
2010,8,9,221,743.75,10705133.26
2010,8,10,222,743.58,10669573.43
2010,8,11,223,743.42,10635931.95
2010,8,12,224,743.35,10619797.27
2010,8,13,225,743.32,10611603.13
2010,8,14,226,743.16,10577705.55
2010,8,15,227,743.24,10590410.03
2010,8,16,228,743.27,10592528.93
2010,8,17,229,743.21,10579538.33
2010,8,18,230,743.06,10546450.25
2010,8,19,231,743.07,10546849.72
2010,8,20,232,743.67,10654896.08
2010,8,21,233,744.07,10726392.95
2010,8,22,234,743.97,10705119.43
2010,8,23,235,744.10,10725719.50
2010,8,24,236,744.34,10768058.30
2010,8,25,237,744.33,10764442.64
2010,8,26,238,744.18,10732497.62
2010,8,27,239,744.01,10697469.46
2010,8,28,240,744.00,10693748.87
2010,8,29,241,743.86,10663994.51
2010,8,30,242,744.03,10697543.88
2010,8,31,243,743.86,10662088.41
2010,9,1,244,743.69,10626123.72
2010,9,2,245,743.53,10593084.26
2010,9,3,246,743.39,10564377.61
2010,9,4,247,743.25,10535652.94
2010,9,5,248,743.10,10503133.28
2010,9,6,249,742.95,10472520.22
2010,9,7,250,742.85,10450792.85
2010,9,8,251,742.74,10428120.77
2010,9,9,252,742.72,10420361.58
2010,9,10,253,742.82,10435270.26
2010,9,11,254,742.85,10438361.69
2010,9,12,255,742.93,10448532.37
2010,9,13,256,742.93,10446065.67
2010,9,14,257,742.84,10427020.63
2010,9,15,258,742.74,10404872.73
2010,9,16,259,742.60,10375165.64
2010,9,17,260,742.44,10343652.88
2010,9,18,261,742.31,10315517.14
2010,9,19,262,742.15,10282475.60
2010,9,20,263,742.02,10254462.18
2010,9,21,264,742.23,10292588.82
2010,9,22,265,742.44,10329846.27
2010,9,23,266,742.54,10348750.03
2010,9,24,267,742.46,10330173.04
2010,9,25,268,742.80,10392426.10
2010,9,26,269,743.10,10449295.98
2010,9,27,270,743.19,10466278.81
2010,9,28,271,743.24,10472912.41
